shop_id,shop_item_row_id,item_id,item_quality,price,item_class_path,item_name_en
101,101001,13000001,1,6000,Normal/DummyItem,
101,101002,13000029,1,6000,Normal/DummyItem,
101,101003,13000030,1,6000,Normal/DummyItem,
101,101004,13000015,1,8000,Normal/DummyItem,
101,101005,13000031,1,8000,Normal/DummyItem,
101,101006,13000002,1,10000,Normal/DummyItem,
101,101007,13000035,1,10000,Normal/DummyItem,
101,101008,13000036,1,10000,Normal/DummyItem,
101,101009,13000022,1,12000,Normal/DummyItem,
101,101010,13000037,1,12000,Normal/DummyItem,
102,102001,13000003,1,6000,Normal/DummyItem,
102,102002,13000029,1,6000,Normal/DummyItem,
102,102003,13000030,1,6000,Normal/DummyItem,
102,102004,13000016,1,8000,Normal/DummyItem,
102,102005,13000031,1,8000,Normal/DummyItem,
102,102006,13000004,1,10000,Normal/DummyItem,
102,102007,13000035,1,10000,Normal/DummyItem,
102,102008,13000036,1,10000,Normal/DummyItem,
102,102009,13000023,1,12000,Normal/DummyItem,
102,102010,13000037,1,12000,Normal/DummyItem,
103,103001,13000005,1,6000,Normal/DummyItem,
103,103002,13000029,1,6000,Normal/DummyItem,
103,103003,13000030,1,6000,Normal/DummyItem,
103,103004,13000017,1,8000,Normal/DummyItem,
103,103005,13000031,1,8000,Normal/DummyItem,
103,103006,13000006,1,10000,Normal/DummyItem,
103,103007,13000035,1,10000,Normal/DummyItem,
103,103008,13000036,1,10000,Normal/DummyItem,
103,103009,13000024,1,12000,Normal/DummyItem,
103,103010,13000037,1,12000,Normal/DummyItem,
104,104001,13000007,1,6000,Normal/DummyItem,
104,104002,13000029,1,6000,Normal/DummyItem,
104,104003,13000030,1,6000,Normal/DummyItem,
104,104004,13000018,1,8000,Normal/DummyItem,
104,104005,13000031,1,8000,Normal/DummyItem,
104,104006,13000008,1,10000,Normal/DummyItem,
104,104007,13000035,1,10000,Normal/DummyItem,
104,104008,13000036,1,10000,Normal/DummyItem,
104,104009,13000025,1,12000,Normal/DummyItem,
104,104010,13000037,1,12000,Normal/DummyItem,
105,105001,13000009,1,6000,Normal/DummyItem,
105,105002,13000029,1,6000,Normal/DummyItem,
105,105003,13000030,1,6000,Normal/DummyItem,
105,105004,13000019,1,8000,Normal/DummyItem,
105,105005,13000031,1,8000,Normal/DummyItem,
105,105006,13000010,1,10000,Normal/DummyItem,
105,105007,13000035,1,10000,Normal/DummyItem,
105,105008,13000036,1,10000,Normal/DummyItem,
105,105009,13000026,1,12000,Normal/DummyItem,
105,105010,13000037,1,12000,Normal/DummyItem,
106,106001,13000011,1,6000,Normal/DummyItem,
106,106002,13000032,1,6000,Normal/DummyItem,
106,106003,13000033,1,6000,Normal/DummyItem,
106,106004,13000020,1,8000,Normal/DummyItem,
106,106005,13000034,1,8000,Normal/DummyItem,
106,106006,13000012,1,10000,Normal/DummyItem,
106,106007,13000038,1,10000,Normal/DummyItem,
106,106008,13000039,1,10000,Normal/DummyItem,
106,106009,13000027,1,12000,Normal/DummyItem,
106,106010,13000040,1,12000,Normal/DummyItem,
107,107001,13000013,1,6000,Normal/DummyItem,
107,107002,13000032,1,6000,Normal/DummyItem,
107,107003,13000033,1,6000,Normal/DummyItem,
107,107004,13000021,1,8000,Normal/DummyItem,
107,107005,13000034,1,8000,Normal/DummyItem,
107,107006,13000014,1,10000,Normal/DummyItem,
107,107007,13000038,1,10000,Normal/DummyItem,
