shop_row_id,item_id,item_quality,item_quantity,seal_cost,rank_requirement,company_id,event_flag_requirement,reserved_zero,item_category,item_class_path,item_name_en
100001,3010403,1,10,20,0,1,0,0,1,Normal/FoodItem,handful of dried prunes
100002,3010402,1,10,30,0,1,0,0,1,Normal/FoodItem,ginger cookie
100003,3020202,1,1,50,0,1,0,0,1,Normal/PotionItem,stein of dusken draught
100004,3020406,1,20,10,0,1,0,0,1,Normal/CmnRemoveStatusItem,bottle of blood drops
100005,3020403,1,10,15,0,1,0,0,1,Normal/CmnRemoveStatusItem,bottle of dawn drops
100006,3020402,1,5,60,0,1,0,0,1,Normal/CmnRemoveStatusItem,bottle of throat drops
100007,3020404,1,5,100,0,1,0,0,1,Normal/CmnRemoveStatusItem,bottle of spine drops
100008,3020528,1,5,50,0,1,0,0,1,Normal/EnchantMedicineItem,hi-potion of piety
100009,3020516,1,5,50,0,1,0,0,1,Normal/EnchantMedicineItem,hi-potion of vitality
100010,3020411,1,1,15,0,1,0,0,1,Normal/RaiseItem,bottle of company-issue expectorant
100011,3020412,1,1,200,0,1,0,0,1,Normal/RaiseItem,bottle of company-issue tonic
100012,3020509,1,1,200,0,1,0,0,1,Normal/CmnGoodStatusItem,company-issue engineering manual
100013,3020510,1,1,200,0,1,0,0,1,Normal/CmnGoodStatusItem,company-issue survival manual
100014,10013001,1,20,5,0,1,0,0,1,Normal/StandardItem,fragment of grade 1 dark matter
100015,10013002,1,20,25,0,1,0,0,1,Normal/StandardItem,fragment of grade 2 dark matter
100016,10013003,1,20,45,0,1,0,0,1,Normal/StandardItem,fragment of grade 3 dark matter
100017,10013004,1,20,100,0,1,0,0,1,Normal/StandardItem,fragment of grade 4 dark matter
100018,10013005,1,20,150,0,1,0,0,1,Normal/StandardItem,fragment of grade 5 dark matter
100019,3910402,1,99,85,0,1,0,0,1,Normal/StandardItem,iron throwing dagger
100020,3910103,1,99,120,0,1,0,0,1,Normal/StandardItem,iron chakram
100021,3910203,1,99,120,0,1,0,0,1,Normal/StandardItem,iron francisca
